rank,prompt,recall,precision,f1,tp,fp,fn,time_sec
1,boarding ladder. ladder.,0.5687,0.7673,0.6533,211,64,160,51.9
2,rope ladder. ladder.,0.6119,0.6985,0.6523,227,98,144,51.5
3,pilot ladder. boarding ladder.,0.5984,0.7161,0.652,222,88,149,49.4
4,pilot ladder. rope ladder. ladder.,0.6038,0.7066,0.6512,224,93,147,52.1
5,rope ladder. boarding ladder.,0.6038,0.6935,0.6455,224,99,147,49.4
6,pilot ladder. ladder.,0.5849,0.6977,0.6364,217,94,154,51.3
7,pilot ladder. rope ladder. boarding ladder.,0.5337,0.6947,0.6037,198,87,173,54.7
8,pilot ladder. rope ladder. ship ladder.,0.5499,0.622,0.5837,204,124,167,52.5
9,pilot ladder. rope ladder. maritime ladder.,0.5121,0.6597,0.5766,190,98,181,52.8
10,pilot ladder. rope ladder. hanging rope ladder.,0.5229,0.6139,0.5648,194,122,177,52.1
11,pilot ladder. rope ladder. wooden step rope ladder.,0.5067,0.6351,0.5637,188,108,183,52.1
12,boarding ladder. rope ladder. pilot ladder. ship ladder.,0.4582,0.6693,0.544,170,84,201,52.5
13,pilot ladder. rope ladder. boarding ladder. ship ladder.,0.4582,0.6693,0.544,170,84,201,52.9
14,pilot ladder. rope ladder. boarding ladder. hanging ladder.,0.434,0.7188,0.5412,161,63,210,53.6
15,pilot ladder. rope ladder. jacob's ladder.,0.4528,0.5793,0.5083,168,122,203,52.2
